[2024-11-06 20:22:25] Starting Symbols.py...
[2024-11-06 20:22:27] Output of Symbols.py:
Symbols saved to Symbols.csv for 06112024

[2024-11-06 20:22:27] Starting StkData.py...
[2024-11-06 22:04:53] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Market cap for DHTL: 25.79
Market cap for DHUNINV: 1349.03
Market cap for DIACABS: 8882.89
Market cap for DIAMINESQ: 515.86
Market cap for DIAMONDYD: 2733.51
Market cap for DICIND: 693.93
Market cap for DIFFNKG: 1257.52
Market cap for DIGIDRIVE: 166.2
Market cap for DIGIKORE: 220.38
Market cap for DIGISPICE: 729.17
Market cap for DIGJAMLMTD: 176
Market cap for DIL: 98.13
Market cap for DISHTV: 2343.92
Market cap for DIVGIITTS: 2018.47
Market cap for DIVISLAB: 158596.24
Market cap for DIVOPPBEES: 58.55
Market cap for DIVYADHAN: 114.74
Market cap for DIXON: 93524.6
Market cap for DJML: 387.04
Market cap for DKEGL: 63.07
Market cap for DLF: 204956.08
Market cap for DLINKINDIA: 2101.71
Market cap for DMART: 255542.88
Market cap for DMCC: 793.09
Market cap for DNAMEDIA: 62.74
Market cap for DODLA: 7039.95
Market cap for DOLATALGO: 2543.2
Market cap for DOLLAR: 2905
Market cap for DOLLEX: 105.36
Market cap for DOLPHIN: 2427.08
Market cap for DOMS: 17119.87
Market cap for DONEAR: 599.61
Market cap for DPABHUSHAN: 3928.99
Market cap for DPEL: 259.75
Market cap for DPSCLTD: 1762.56
Market cap for DPWIRES: 638.08
Market cap for DRCSYSTEMS: 354.43
Market cap for DREAMFOLKS: 2472.48
Market cap for DREDGECORP: 2959.6
Market cap for DRONE: 539.46
Market cap for DRREDDY: 108507.56
Market cap for DRSDILIP: 153.64
Market cap for DSSL: 1710.55
Market cap for DTIL: 288.95
Market cap for DTL: 119.78
Market cap for DUCOL: 175.86
Market cap for DUCON: 294.06
Market cap for DUGLOBAL: 495.38
Market cap for DURLAX: 101.1
Market cap for DVL: 1567.88
Market cap for DWARKESH: 1233.18
Market cap for DYCL: 2083.48
Market cap for DYNAMATECH: 5100.37
Market cap for DYNAMIC: 464.42
Market cap for DYNPRO: 517.22
Market cap for E2E: 8824.32
Market cap for EASEMYTRIP: 5913.3
Market cap for EBANKNIFTY: 11.14
Market cap for EBBETF0425: 10809.15
Market cap for EBBETF0430: 18368.49
Market cap for EBBETF0431: 13804.39
Market cap for EBBETF0433: 5999.94
Market cap for ECLERX: 15519.72
Market cap for ECOSMOBLTY: 2599.5
Market cap for EDELWEISS: 10675.48
Market cap for EFACTOR: 416.2
Market cap for EFFWA: 573.82
Market cap for EFORCE: 158.54
Market cap for EGOLD: 91.3
Market cap for EICHERMOT: 134863.91
Market cap for EIDPARRY: 14744.29
Market cap for EIFFL: 537.91
Market cap for EIHAHOTELS: 2364.33
Market cap for EIHOTEL: 22625.68
Market cap for EIMCOELECO: 1524.01
Market cap for EKC: 2174.02
Market cap for ELDEHSG: 797.46
Market cap for ELECON: 13688.4
Market cap for ELECTCAST: 10447.32
Market cap for ELECTHERM: 1267.15
Market cap for ELGIEQUIP: 20603.84
Market cap for ELGIRUBCO: 655.66
Market cap for ELIN: 1151.4
Market cap for EMAMILTD: 29906.8
Market cap for EMAMIPAP: 658.23
Market cap for EMAMIREAL: 397.17
Market cap for EMBASSY: 36873.07
Market cap for EMBDL: 7509.72
Market cap for EMCURE: 27323.77
Market cap for EMIL: 7585.32
Market cap for EMKAY: 734.21
Market cap for EMKAYTOOLS: 1483.26
Market cap for EMMBI: 251.29
Market cap for EMMIL: 484.26
Market cap for EMSLIMITED: 4603.5
Market cap for EMUDHRA: 7450.57
Market cap for ENDURANCE: 33477.76
Market cap for ENERGYDEV: 118.99
Market cap for ENFUSE: 172.53
Market cap for ENGINERSIN: 11073.36
Market cap for ENIL: 931.96
Market cap for ENSER: 266.45
Market cap for ENTERO: 6350.09
Market cap for ENVIRO: 184.14
Market cap for EPACK: 4759.04
Market cap for EPIGRAL: 9329.75
Market cap for EPL: 8557.34
Market cap for EQUAL50ADD: 215.14
Market cap for EQUIPPP: 246.29
Market cap for EQUITASBNK: 8044
Market cap for ERIS: 17748.2
Market cap for EROSMEDIA: 165.93
Market cap for ESABINDIA: 9636.03
Market cap for ESAFSFB: 2321.31
Market cap for ESCONET: 592.04
Market cap for ESCORTS: 41954.16
Market cap for ESFL: 1421.31
Market cap for ESG: 121.67
Market cap for ESILVER: 85.81
Market cap for ESPRIT: 216.6
Market cap for ESSARSHPNG: 813.42
Market cap for ESSENTIA: 368.35
Market cap for ESTER: 1504.39
Market cap for ETHOSLTD: 7270.69
Market cap for EUREKAFORB: 11674.05
Market cap for EUROBOND: 475.3
Market cap for EUROTEXIND: 9.32
Market cap for EVEREADY: 2938.02
Market cap for EVERESTIND: 1661.09
Market cap for EVINDIA: 153.65
Market cap for EXCEL: 143.89
Market cap for EXCELINDUS: 2059.08
Market cap for EXCELLENT: 31.29
Market cap for EXICOM: 4348.47
Market cap for EXIDEIND: 38505
Market cap for EXPLEOSOL: 1933.76
Market cap for EXXARO: 408.93
Market cap for FACT: 57848.23
Market cap for FAIRCHEMOR: 1354.17
Market cap for FALCONTECH: 23.38
Market cap for FAZE3Q: 1011.67
Market cap for FCL: 4231.4
Market cap for FCSSOFT: 642.79
Market cap for FDC: 8954.55
Market cap for FEDERALBNK: 50349.57
Market cap for FEDFINA: 3901.43
Market cap for FEL: 33.66
Market cap for FELDVR: 21.54
Market cap for FELIX: 288.78
Market cap for FIBERWEB: 147.99
Market cap for FIDEL: 185.63
Market cap for FIEMIND: 4313.79
Market cap for FILATEX: 2640.94
Market cap for FILATFASH: 750.07
Market cap for FINCABLES: 18961.42
Market cap for FINEORG: 15664.18
Market cap for FINIETF: 96.31
Market cap for FINOPB: 3238.28
Market cap for FINPIPE: 18791.14
Market cap for FIRSTCRY: 32345.17
Market cap for FIVESTAR: 19157.87
Market cap for FLAIR: 2992.17
Market cap for FLEXITUFF: 199.58
Market cap for FLFL: 46.61
Market cap for FLUOROCHEM: 47378.31
Market cap for FMCGIETF: 400.92
Market cap for FMGOETZE: 2314.3
Market cap for FMNL: 86.89
Market cap for FOCUS: 948.13
Market cap for FONEBOX: 169.29
Market cap for FOODSIN: 925.61
Market cap for FORCAS: 180.2
Market cap for FORCEMOT: 9759.05
Market cap for FORGEAUTO: 95
Market cap for FORTIS: 46799.86
Market cap for FOSECOIND: 2921.8
Market cap for FRESHARA: 326.87
Market cap for FROG: 524.85
Market cap for FSC: 10.84
Market cap for FSL: 26764.45
Market cap for FUSION: 2145.75
Market cap for GABRIEL: 6687.34
Market cap for GAEL: 6159.95
Market cap for GAIL: 137419.58
Market cap for GAJANAND: 39.55
Market cap for GALAPREC: 1408.9
Market cap for GALAXYSURF: 10636.43
Market cap for GALLANTT: 7842.84
Market cap for GANDHAR: 2148.24
Market cap for GANDHITUBE: 1025.74
Market cap for GANECOS: 5842.48
Market cap for GANESHBE: 1038.38
Market cap for GANESHHOUC: 9823.83
Market cap for GANGAFORGE: 100.43
Market cap for GANGESSECU: 188.82
Market cap for GARFIBRES: 8098.5
Market cap for GARUDA: 837.38
Market cap for GATECH: 58.53
Market cap for GATECHDVR: 12.65
Market cap for GATEWAY: 4433.84
Market cap for GAYAHWS: 32.35
Market cap for GEECEE: 855.29
Market cap for GEEKAYWIRE: 522.6
Market cap for GENCON: 220.68
Market cap for GENESYS: 3322.38
Market cap for GENSOL: 3219.2
Market cap for GENUSPAPER: 601.16
Market cap for GENUSPOWER: 12995.93
Market cap for GEOJITFSL: 3738.94
Market cap for GEPIL: 2742.88
Market cap for GESHIP: 17937.98
Market cap for GFLLIMITED: 977.67
Market cap for GGBL: 1118.53
Market cap for GHCL: 5883.65
Market cap for GHCLTEXTIL: 981.28
Market cap for GICHSGFIN: 1188.49
Market cap for GICL: 166.96
Market cap for GICRE: 67044.4
Market cap for GILLANDERS: 210.86
Market cap for GILLETTE: 33328.16
Market cap for GILT5YBEES: 183.56
Market cap for GINNIFILA: 269.8
Market cap for GIPCL: 3274.59
Market cap for GIRIRAJ: 954.43
Market cap for GKWLIMITED: 2124.07
Market cap for GLAND: 30479.07
Market cap for GLAXO: 44469.08
Market cap for GLENMARK: 49810.44
Market cap for GLFL: 19.91
Market cap for GLOBAL: 372.58
Market cap for GLOBALE: 35.05
Market cap for GLOBALPET: 125.77
Market cap for GLOBALVECT: 416.36
Market cap for GLOBE: 150.14
Market cap for GLOBUSSPR: 3172.75
Market cap for GLOSTERLTD: 780.25
Market cap for GLS: 13477.39
Market cap for GMBREW: 1896.29
Market cap for GMDCLTD: 11894.79
Market cap for GMMPFAUDLR: 6271.53
Market cap for GMRINFRA: 86214.04
Error fetching market cap for GMRP&UI
Market cap for GNA: 1781.63
Market cap for GNFC: 9239.63
Market cap for GOACARBON: 672.6
Market cap for GOCLCORP: 2132.61
Market cap for GOCOLORS: 6461.63
Market cap for GODAVARIB: 1724.63
Market cap for GODFRYPHLP: 36848.09
Market cap for GODHA: 88.01
Market cap for GODIGIT: 31131.16
Market cap for GODREJAGRO: 14246.57
Market cap for GODREJCP: 130714.36
Market cap for GODREJIND: 34634.95
Market cap for GODREJPROP: 80012.37
Market cap for GOENKA: 30.75
Market cap for GOKEX: 6446.27
Market cap for GOKUL: 657.82
Market cap for GOKULAGRO: 4228.59
Market cap for GOLD1: 5040.05
Market cap for GOLDBEES: 15064.31
Market cap for GOLDCASE: 101.43
Market cap for GOLDENTOBC: 73.25
Market cap for GOLDETF: 440.15
Market cap for GOLDETFADD: 584.31
Market cap for GOLDIAM: 3972.78
Market cap for GOLDIETF: 5455.94
Market cap for GOLDKART: 320.43
Market cap for GOLDSHARE: 1492.62
Market cap for GOLDSTAR: 269.59
Market cap for GOLDTECH: 289.8
Market cap for GOODLUCK: 3250.93
Market cap for GOPAL: 6283.18
Market cap for GOYALALUM: 144.59
Market cap for GOYALSALT: 411.71
Market cap for GPECO: 421.88
Market cap for GPIL: 13677.19
Market cap for GPPL: 9460.92
Market cap for GPTHEALTH: 1427.75
Market cap for GPTINFRA: 1744.08
Market cap for GRANULES: 14048.9
Market cap for GRAPHISAD: 145.85
Market cap for GRAPHITE: 10501.44
Market cap for GRASIM: 174233.6
Market cap for GRASIMPP1: 3770.48
Market cap for GRAVITA: 15395.45
Market cap for GRCL: 274.42
Market cap for GREAVESCOT: 4438.07
Market cap for GREENCHEF: 176.52
Market cap for GREENLAM: 7144.14
Market cap for GREENPANEL: 4745.68
Market cap for GREENPLY: 4536.56
Market cap for GREENPOWER: 2274.49
Market cap for GRETEX: 389.62
Market cap for GRINDWELL: 24358.4
Market cap for GRINFRA: 15717.23
Market cap for GRMOVER: 1331.1
Market cap for GROBTEA: 125.53
Market cap for GROWWDEFNC: 72.16
Market cap for GROWWEV: 222.12
Market cap for GROWWGOLD: 39.54
Market cap for GROWWLIQID: 62.99
Market cap for GRPLTD: 1854.4
Market cap for GRSE: 18202.31
Market cap for GRWRHITECH: 9734.37
Market cap for GSEC10IETF: 552.71
Market cap for GSEC10YEAR: 86.31
Market cap for GSEC5IETF: 80.42
Market cap for GSFC: 8395.92
Market cap for GSLSU: 832.42
Market cap for GSMFOILS: 115.88
Market cap for GSPL: 21784.2
Market cap for GSS: 179.83
Market cap for GSTL: 74.6
Market cap for GTECJAINX: 45.29
Market cap for GTL: 208.26
Market cap for GTLINFRA: 2894.39
Market cap for GTPL: 1677.84
Market cap for GUFICBIO: 4763.18
Market cap for GUJALKALI: 6411.04
Market cap for GUJAPOLLO: 384.68
Market cap for GUJGASLTD: 36360.77
Market cap for GUJRAFFIA: 24.07
Market cap for GULFOILLUB: 6294.94
Market cap for GULFPETRO: 360.97
Market cap for GULPOLY: 1360.43
Market cap for GVKPIL: 852.77
Market cap for GVPTECH: 201.79
Error fetching market cap for GVT&D
Market cap for HAL: 293592.23
Market cap for HAPPSTMNDS: 11969.56
Market cap for HAPPYFORGE: 10824.61
Market cap for HARDWYN: 1334.12
Market cap for HARIOMPIPE: 1851.35
Market cap for HARRMALAYA: 517.21
Market cap for HARSHA: 4652.35
Market cap for HATHWAY: 3483.57
Market cap for HATSUN: 26072.68
Market cap for HAVELLS: 105134.99
Market cap for HAVISHA: 43.6
Market cap for HBLPOWER: 16143.83
Market cap for HBSL: 95.32
Market cap for HCC: 6870.71
Market cap for HCG: 6523.3
Market cap for HCL-INSYS: 597.52
Market cap for HCLTECH: 500128.48
Market cap for HDFCAMC: 96020.53
Market cap for HDFCBANK: 1341862.77
Market cap for HDFCBSE500: 15.35
Market cap for HDFCGOLD: 5831.44
Market cap for HDFCGROWTH: 13.47
Market cap for HDFCLIFE: 152657.05
Market cap for HDFCLIQUID: 32.12
Market cap for HDFCLOWVOL: 37.31
Market cap for HDFCMID150: 112.56
Market cap for HDFCMOMENT: 116.43
Market cap for HDFCNEXT50: 113.87
Market cap for HDFCNIF100: 54.44
Market cap for HDFCNIFBAN: 5411.36
Market cap for HDFCNIFIT: 149.44
Market cap for HDFCNIFTY: 3728.16
Market cap for HDFCPSUBK: 30.47
Market cap for HDFCPVTBAN: 679.3
Market cap for HDFCQUAL: 16.39
Market cap for HDFCSENSEX: 956.91
Market cap for HDFCSILVER: 390.29
Market cap for HDFCSML250: 685.01
Market cap for HDFCVALUE: 34.21
Market cap for HDIL: 206.67
Market cap for HEADSUP: 28.27
Market cap for HEALTHADD: 10.74
Market cap for HEALTHIETF: 151.47
Market cap for HEALTHY: 41.24
Market cap for HECPROJECT: 154.99
Market cap for HEG: 8813.28
Market cap for HEIDELBERG: 5373
Market cap for HEMIPROP: 5272.79
Market cap for HERANBA: 2176.93
Market cap for HERCULES: 640
Market cap for HERITGFOOD: 4788.27
Market cap for HEROMOTOCO: 97590.3
Market cap for HESTERBIO: 2115.66
Market cap for HEUBACHIND: 1269.5
Market cap for HEXATRADEX: 1546.85
Market cap for HFCL: 18448.9
Market cap for HGINFRA: 8919.32
Market cap for HGS: 3656.49
Market cap for HIGREEN: 732.33
Market cap for HIKAL: 4743.38
Market cap for HIL: 2033.78
Market cap for HILTON: 187.35
Market cap for HIMATSEIDE: 2032.62
Market cap for HINDALCO: 158956.86
Market cap for HINDCOMPOS: 702.49
Market cap for HINDCON: 240.6
Market cap for HINDCOPPER: 28817.32
Market cap for HINDMOTORS: 525.61
Market cap for HINDNATGLS: 233.38
Market cap for HINDOILEXP: 2826.34
Market cap for HINDPETRO: 83378.73
Market cap for HINDUNILVR: 589512.45
Market cap for HINDWAREAP: 2534.48
Market cap for HINDZINC: 217540.55
Market cap for HIRECT: 2133.66
Market cap for HISARMETAL: 99.63
Market cap for HITECH: 3747.34
Market cap for HITECHCORP: 498.95
Market cap for HITECHGEAR: 1633.7
Market cap for HLEGLAS: 2451.33
Market cap for HLVLTD: 1251.93
Market cap for HMAAGRO: 2303.54
Market cap for HMT: 8777.83
Market cap for HMVL: 670.41
Market cap for HNDFDS: 6910.49
Market cap for HNGSNGBEES: 825.06
Market cap for HOACFOODS: 53.42
Market cap for HOLMARC: 199.64
Market cap for HOMEFIRST: 10434.4
Market cap for HOMESFY: 154.59
Market cap for HONASA: 12567.44
Market cap for HONAUT: 39796.58
Market cap for HONDAPOWER: 3808.72
Market cap for HOVS: 92.09
Market cap for HPAL: 764.86
Market cap for HPIL: 163.36
Market cap for HPL: 3433.65
Market cap for HRHNEXT: 93.9
Market cap for HSCL: 29020.05
Market cap for HTMEDIA: 580.94
Market cap for HUBTOWN: 2286.17
Market cap for HUDCO: 46013.67
Market cap for HUHTAMAKI: 2188.63
Market cap for HVAX: 179.39
Market cap for HYBRIDFIN: 42.68
Market cap for HYUNDAI: 150726.37
Market cap for IBLFL: 165.94
Market cap for ICDSLTD: 62.05
Market cap for ICEMAKE: 1356.98
Market cap for ICICIB22: 19427.42
Market cap for ICICIBANK: 920612.84
Market cap for ICICIGI: 95989.77
Market cap for ICICIPRULI: 103716.58
Market cap for ICIL: 7842.95
Market cap for ICRA: 6871.68
Market cap for IDBI: 92309.37
Market cap for IDEA: 56875.05
Market cap for IDEAFORGE: 2639.05
Market cap for IDEALTECHO: 47.05
Market cap for IDFCFIRSTB: 49019.01
Market cap for IDFNIFTYET: 3.8
Market cap for IEL: 280.65
Market cap for IEML: 350.78
Market cap for IEX: 15814.17
Market cap for IFBAGRO: 540.44
Market cap for IFBIND: 6857.4
Market cap for IFCI: 17565.95
Market cap for IFGLEXPOR: 2122.72
Market cap for IGARASHI: 2470.48
Market cap for IGL: 30243.53
Market cap for IGPL: 1807.66
Market cap for IIFL: 19414.59
Market cap for IIFLSEC: 12583.99
Market cap for IITL: 834.03
Market cap for IKIO: 2155.36
Error fetching market cap for IL&FSENGG
Error fetching market cap for IL&FSTRANS
Market cap for IMAGICAA: 4211.11
Market cap for IMFA: 3841.53
Market cap for IMPAL: 1528.99
Market cap for IMPEXFERRO: 29.55
Market cap for INCREDIBLE: 200.01
Market cap for INDBANK: 202.36
Market cap for INDGN: 16365.99
Market cap for INDHOTEL: 97789.79
Market cap for INDIACEM: 11208.98
Market cap for INDIAGLYCO: 4028.56
Market cap for INDIAMART: 14781.86
Market cap for INDIANB: 77854.52
Market cap for INDIANCARD: 162.76
Market cap for INDIANHUME: 2391.75
Market cap for INDIASHLTR: 7722.26
Market cap for INDIGO: 157456.14
Market cap for INDIGOPNTS: 7797.8
Market cap for INDIGRID: 12134.47
Market cap for INDNIPPON: 1606.12
Market cap for INDOAMIN: 1265.2
Market cap for INDOBORAX: 654.48
Market cap for INDOCO: 2899.13
Market cap for INDORAMA: 1135.84
Market cap for INDOSTAR: 3973.52
Market cap for INDOTECH: 2730.51
Market cap for INDOTHAI: 1089.25
Market cap for INDOUS: 497.29
Market cap for INDOWIND: 291.09
Market cap for INDRAMEDCO: 3976.32
Market cap for INDSWFTLAB: 673.59
Market cap for INDSWFTLTD: 124.63
Market cap for INDTERRAIN: 231.87
Market cap for INDUSINDBK: 84146.83
Market cap for INDUSTOWER: 90277.93
Market cap for INFIBEAM: 7954.64
Market cap for INFINIUM: 469.39
Market cap for INFOBEAN: 1101.47
Market cap for INFOLLION: 437.45
Market cap for INFRABEES: 162.17
Market cap for INFRAIETF: 112.12
Market cap for INFY: 756105.94
Market cap for INGERRAND: 13347.42
Market cap for INM: 227.35
Market cap for INNOMET: 248.45
Market cap for INNOVACAP: 4852.39
Market cap for INNOVANA: 949.15
Market cap for INOXGREEN: 6316.24
Market cap for INOXINDIA: 10301.66
Market cap for INOXWIND: 29309.29
Market cap for INSECTICID: 2544.17
Market cap for INSPIRE: 42.53
Market cap for INSPIRISYS: 465.7
Market cap for INTELLECT: 10935.82
Market cap for INTENTECH: 341.42
Market cap for INTERARCH: 2870.47
Market cap for INTLCONV: 563.31
Market cap for INVENTURE: 234.15
Market cap for IOB: 104171.19
Market cap for IOC: 204193.11
Market cap for IOLCP: 2413.38
Market cap for IONEXCHANG: 10364.93
Market cap for IPCALAB: 40085.27
Market cap for IPHL: 257.39
Market cap for IPL: 2340.12
Market cap for IPSL: 205.39
Market cap for IRB: 32006.7
Market cap for IRBINVIT: 3474.87
Market cap for IRCON: 20630.21
Market cap for IRCTC: 68536
Market cap for IREDA: 56518.32
Market cap for IRFC: 201712.39
Market cap for IRIS: 870.03
Market cap for IRISDOREME: 548.24
Market cap for IRMENERGY: 1683.45
Market cap for ISEC: 28148.88
Market cap for ISFT: 239.6
Market cap for ISGEC: 10000.01
Market cap for ISHAN: 51.9
Market cap for IT: 198.7
Market cap for ITALIANE: 81.72
Market cap for ITBEES: 2482.38
Market cap for ITC: 602904.62
Market cap for ITDC: 5258.09
Market cap for ITDCEM: 9714.59
Market cap for ITETF: 155.77
Market cap for ITETFADD: 43.34
Market cap for ITI: 22388.67
Market cap for ITIETF: 469.57
Market cap for IVC: 389.4
Market cap for IVP: 249.9
Market cap for IVZINGOLD: 141.05
Market cap for IVZINNIFTY: 90.22
Market cap for IWEL: 14819.12
Market cap for IXIGO: 5858.93
Market cap for IZMO: 542.65
Error fetching market cap for J&KBANK
Market cap for JAGRAN: 1924.06
Market cap for JAGSNPHARM: 1606.82
Market cap for JAIBALAJI: 19603.49
Market cap for JAICORPLTD: 5943.48
Market cap for JAINAM: 175.32
Market cap for JAIPURKURT: 66.34
Market cap for JALAN: 6.11
Market cap for JAMNAAUTO: 4508.22
Market cap for JASH: 3127.51
Market cap for JAYAGROGN: 846.15
Market cap for JAYBARMARU: 1086.83
Market cap for JAYBEE: 884.76
Market cap for JAYNECOIND: 4233.55
Market cap for JAYSREETEA: 404.28
Market cap for JBCHEPHARM: 29354.42
Market cap for JBMA: 19333.41
Market cap for JCHAC: 5679.77
Market cap for JETAIRWAYS: 408.84
Market cap for JETFREIGHT: 71.09
Market cap for JEYYAM: 287.83
Market cap for JFLLIFE: 84.63
Market cap for JGCHEM: 1423.83
Market cap for JHS: 219.15
Market cap for JINDALPHOT: 753.99
Market cap for JINDALPOLY: 3467.88
Market cap for JINDALSAW: 20975.87
Market cap for JINDALSTEL: 97107.29
Market cap for JINDRILL: 2192.42
Market cap for JINDWORLD: 6106.85
Market cap for JIOFIN: 207398.31
Market cap for JISLDVREQS: 63.79
Market cap for JISLJALEQS: 4476.04
Market cap for JITFINFRA: 2452.13
Market cap for JKCEMENT: 32062.07
Market cap for JKIL: 5795.22
Market cap for JKLAKSHMI: 9356.54
Market cap for JKPAPER: 7648.52
Market cap for JKTYRE: 10777.21
